chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
J02459.1	446	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	452	+	CG	0.200	5.00	1	6	5	6	0.036	0.624
J02459.1	459	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	461	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	465	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	472	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	475	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	505	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	523	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	538	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	546	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	548	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	553	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	577	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	580	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	594	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	602	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	605	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	612	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	626	+	CG	0.556	9.00	5	14	9	14	0.267	0.811
J02459.1	647	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	679	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	681	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	699	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	721	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	744	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	756	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	758	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	761	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	768	+	CG	0.750	8.00	6	14	8	14	0.409	0.929
J02459.1	784	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	797	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	800	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	811	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	832	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	842	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	858	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	882	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	898	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	908	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	918	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	945	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	950	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1005	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1027	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1030	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1043	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1064	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	1072	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1080	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1090	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	1093	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	1102	+	CG	0.167	6.00	1	7	6	7	0.030	0.564
J02459.1	1111	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	1131	+	CG	0.500	10.00	5	15	10	15	0.237	0.763
J02459.1	1141	+	CG	0.500	10.00	5	15	10	15	0.237	0.763
J02459.1	1155	+	CG	0.625	8.00	5	13	8	13	0.306	0.863
J02459.1	1170	+	CG	0.625	8.00	5	13	8	13	0.306	0.863
J02459.1	1190	+	CG	0.700	10.00	7	17	10	17	0.397	0.892
J02459.1	1198	+	CG	0.700	10.00	7	17	10	17	0.397	0.892
J02459.1	1212	+	CG	0.700	10.00	7	17	10	17	0.397	0.892
J02459.1	1222	+	CG	0.875	8.00	7	15	8	15	0.529	0.978
J02459.1	1234	+	CG	0.900	10.00	9	19	10	19	0.596	0.982
J02459.1	1288	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	1291	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	1308	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	1321	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	1341	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1351	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1383	+	CG	1.000	7.00	7	14	7	14	0.646	1.000
J02459.1	1402	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1413	+	CG	0.750	8.00	6	14	8	14	0.409	0.929
J02459.1	1432	+	CG	0.778	9.00	7	16	9	16	0.453	0.937
J02459.1	1439	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	1466	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1477	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1480	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1498	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1501	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1517	+	CG	0.429	14.00	6	20	14	20	0.214	0.674
J02459.1	1532	+	CG	0.500	16.00	8	24	16	24	0.280	0.720
J02459.1	1547	+	CG	0.500	16.00	8	24	16	24	0.280	0.720
J02459.1	1554	+	CG	0.500	16.00	8	24	16	24	0.280	0.720
J02459.1	1584	+	CG	0.500	12.00	6	18	12	18	0.254	0.746
J02459.1	1595	+	CG	0.538	13.00	7	20	13	20	0.291	0.768
J02459.1	1604	+	CG	0.500	12.00	6	18	12	18	0.254	0.746
J02459.1	1617	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1639	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	1646	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	1696	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1705	+	CG	1.000	6.00	6	12	6	12	0.610	1.000
J02459.1	1747	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1759	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1767	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	1778	+	CG	0.500	8.00	4	12	8	12	0.215	0.785
J02459.1	1789	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1793	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1801	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1810	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	1820	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	1824	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	1828	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	1851	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1870	+	CG	0.000	14.00	0	14	14	14	0.000	0.215
J02459.1	1874	+	CG	0.000	14.00	0	14	14	14	0.000	0.215
J02459.1	1884	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1901	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1904	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1910	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1926	+	CG	0.000	13.00	0	13	13	13	0.000	0.228
J02459.1	1931	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1938	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1940	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1957	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	1983	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	2001	+	CG	0.286	7.00	2	9	7	9	0.082	0.641
J02459.1	2006	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	2009	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	2020	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2028	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2061	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2064	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2083	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2091	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2111	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2122	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2139	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2143	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2163	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	2189	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2195	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2203	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2220	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2226	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	2237	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	2252	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	2258	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	2263	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	2270	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	2272	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	2292	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2305	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2308	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2323	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2330	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2336	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2347	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2356	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2375	+	CG	0.750	8.00	6	14	8	14	0.409	0.929
J02459.1	2380	+	CG	0.750	8.00	6	14	8	14	0.409	0.929
J02459.1	2408	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	2457	+	CG	1.000	10.00	10	20	10	20	0.722	1.000
J02459.1	2460	+	CG	1.000	10.00	10	20	10	20	0.722	1.000
J02459.1	2474	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	2483	+	CG	1.000	8.00	8	16	8	16	0.676	1.000
J02459.1	2491	+	CG	1.000	10.00	10	20	10	20	0.722	1.000
J02459.1	2497	+	CG	1.000	14.00	14	28	14	28	0.785	1.000
J02459.1	2500	+	CG	1.000	14.00	14	28	14	28	0.785	1.000
J02459.1	2505	+	CG	1.000	14.00	14	28	14	28	0.785	1.000
J02459.1	2520	+	CG	1.000	12.00	12	24	12	24	0.757	1.000
J02459.1	2542	+	CG	1.000	14.00	14	28	14	28	0.785	1.000
J02459.1	2551	+	CG	1.000	12.00	12	24	12	24	0.757	1.000
J02459.1	2606	+	CG	1.000	12.00	12	24	12	24	0.757	1.000
J02459.1	2610	+	CG	0.857	14.00	12	26	14	26	0.601	0.960
J02459.1	2621	+	CG	0.857	14.00	12	26	14	26	0.601	0.960
J02459.1	2637	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	2639	+	CG	0.833	12.00	10	22	12	22	0.552	0.953
J02459.1	2656	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	2663	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	2667	+	CG	0.800	10.00	8	18	10	18	0.490	0.943
J02459.1	2696	+	CG	0.750	8.00	6	14	8	14	0.409	0.929
J02459.1	2719	+	CG	0.714	7.00	5	12	7	12	0.359	0.918
J02459.1	2723	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2739	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2749	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2794	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	2807	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	2810	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	2843	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	2870	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2874	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2885	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2890	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2892	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2901	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2910	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2913	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2922	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	2941	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2945	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2957	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	2998	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3010	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3012	+	CG	0.400	5.00	2	7	5	7	0.118	0.769
J02459.1	3018	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	3028	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	3036	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3045	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3051	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3078	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3081	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3094	+	CG	0.000	7.00	0	7	7	7	0.000	0.354
J02459.1	3106	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3118	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3132	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3148	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3160	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3162	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3173	+	CG	0.200	10.00	2	12	10	12	0.057	0.510
J02459.1	3192	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3216	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3223	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3229	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3233	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3250	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3270	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	3279	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3291	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3317	+	CG	0.200	5.00	1	6	5	6	0.036	0.624
J02459.1	3320	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3322	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3331	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3343	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3356	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3361	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3374	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3384	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3387	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3394	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3403	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3408	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3429	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3434	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3437	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3450	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3456	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3462	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3482	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3505	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3516	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3519	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3523	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3525	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3530	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3540	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3552	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3561	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3571	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3573	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3594	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	3618	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3623	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3635	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3648	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3662	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3672	+	CG	0.375	8.00	3	11	8	11	0.137	0.694
J02459.1	3698	+	CG	0.500	6.00	3	9	6	9	0.188	0.812
J02459.1	3707	+	CG	0.500	6.00	3	9	6	9	0.188	0.812
J02459.1	3726	+	CG	0.300	10.00	3	13	10	13	0.108	0.603
J02459.1	3728	+	CG	0.300	10.00	3	13	10	13	0.108	0.603
J02459.1	3745	+	CG	0.300	10.00	3	13	10	13	0.108	0.603
J02459.1	3759	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3780	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3782	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3789	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3792	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3797	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3800	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3805	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3816	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	3827	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	3839	+	CG	0.200	10.00	2	12	10	12	0.057	0.510
J02459.1	3863	+	CG	0.167	12.00	2	14	12	14	0.047	0.448
J02459.1	3875	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3882	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3891	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3913	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3921	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3927	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3941	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	3958	+	CG	0.222	9.00	2	11	9	11	0.063	0.547
J02459.1	3966	+	CG	0.200	10.00	2	12	10	12	0.057	0.510
J02459.1	3986	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	3991	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	4001	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4005	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4010	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4016	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4030	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	4033	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	4041	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4044	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4051	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4058	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4095	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4099	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4102	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4104	+	CG	0.000	12.00	0	12	12	12	0.000	0.243
J02459.1	4112	+	CG	0.000	10.00	0	10	10	10	-0.000	0.278
J02459.1	4127	+	CG	0.000	9.00	0	9	9	9	0.000	0.299
J02459.1	4129	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4150	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4170	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4185	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	4189	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4200	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4226	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	4245	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4260	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4272	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4279	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4281	+	CG	0.143	7.00	1	8	7	8	0.026	0.513
J02459.1	4287	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	4318	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4325	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4333	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4336	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4344	+	CG	0.000	8.00	0	8	8	8	0.000	0.324
J02459.1	4355	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	4359	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	4367	+	CG	0.000	6.00	0	6	6	6	0.000	0.390
J02459.1	4386	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4393	+	CG	0.250	8.00	2	10	8	10	0.071	0.591
J02459.1	4433	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4443	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	4473	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	4489	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	4497	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	4499	+	CG	1.000	4.00	4	8	4	8	0.510	1.000
J02459.1	4515	+	CG	0.667	6.00	4	10	6	10	0.300	0.903
J02459.1	4548	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4554	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4561	+	CG	0.500	4.00	2	6	4	6	0.150	0.850
J02459.1	4564	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	4591	+	CG	0.333	6.00	2	8	6	8	0.097	0.700
J02459.1	4593	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	4596	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
J02459.1	4609	+	CG	0.000	4.00	0	4	4	4	0.000	0.490
